Name,Team,Number,Position,Age,Height,Weight,College,Salary,height
Rodney Stuckey,Indiana Pacers,2,PG,30,06-May,205,Eastern Washington,7000000.0,173
Myles Turner,Indiana Pacers,33,PF,20,06-Nov,243,Texas,2357760.0,157
Shayne Whittington,Indiana Pacers,42,PF,25,06-Nov,250,Western Michigan,845059.0,164
Joe Young,Indiana Pacers,1,PG,23,06-Feb,180,Oregon,1007026.0,166
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,06-Nov,222,,1953960.0,174
Jerryd Bayless,Milwaukee Bucks,19,PG,27,06-Mar,200,Arizona,3000000.0,157
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,06-Jun,190,Syracuse,2399040.0,169
Jared Cunningham,Milwaukee Bucks,9,SG,25,06-Apr,195,Oregon State,947276.0,155
Tyler Ennis,Milwaukee Bucks,11,PG,21,06-Mar,194,Syracuse,1662360.0,158
John Henson,Milwaukee Bucks,31,PF,25,06-Nov,229,North Carolina,2943221.0,170
Damien Inglis,Milwaukee Bucks,17,SF,21,06-Aug,246,,855000.0,168
O.J. Mayo,Milwaukee Bucks,3,SG,28,06-May,210,USC,8000000.0,154
Khris Middleton,Milwaukee Bucks,22,SG,24,06-Aug,234,Texas A&M,14700000.0,176
Greg Monroe,Milwaukee Bucks,15,C,26,06-Nov,265,Georgetown,16407500.0,177
Steve Novak,Milwaukee Bucks,6,SF,32,06-Oct,225,Marquette,295327.0,172
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,06-Sep,257,LSU,845059.0,174
Jabari Parker,Milwaukee Bucks,12,PF,21,06-Aug,250,Duke,5152440.0,164
Miles Plumlee,Milwaukee Bucks,18,C,27,06-Nov,249,Duke,2109294.0,165
Greivis Vasquez,Milwaukee Bucks,21,PG,29,06-Jun,217,Maryland,6600000.0,171
Rashad Vaughn,Milwaukee Bucks,20,SG,19,06-Jun,202,UNLV,1733040.0,172
Justin Anderson,Dallas Mavericks,1,SG,22,06-Jun,228,Virginia,1449000.0,158
J.J. Barea,Dallas Mavericks,5,PG,31,6-0,185,Northeastern,4290000.0,169
Jeremy Evans,Dallas Mavericks,21,SF,28,06-Sep,200,Western Kentucky,1100602.0,178
Raymond Felton,Dallas Mavericks,2,PG,31,06-Jan,205,North Carolina,3950313.0,156
Devin Harris,Dallas Mavericks,34,PG,33,06-Mar,185,Wisconsin,4053446.0,178
David Lee,Dallas Mavericks,42,PF,33,06-Sep,245,Florida,2085671.0,150
Wesley Matthews,Dallas Mavericks,23,SG,29,06-May,220,Marquette,16407500.0,176
JaVale McGee,Dallas Mavericks,11,C,28,7-0,270,Nevada,1270964.0,167
Salah Mejri,Dallas Mavericks,50,C,29,07-Feb,245,,525093.0,155
Dirk Nowitzki,Dallas Mavericks,41,PF,37,7-0,245,,8333334.0,175
Zaza Pachulia,Dallas Mavericks,27,C,32,06-Nov,275,,5200000.0,160
Chandler Parsons,Dallas Mavericks,25,SF,27,06-Oct,230,Florida,15361500.0,176
Dwight Powell,Dallas Mavericks,7,PF,24,06-Nov,240,Stanford,845059.0,155
Charlie Villanueva,Dallas Mavericks,3,PF,31,06-Nov,232,Connecticut,947276.0,157
Deron Williams,Dallas Mavericks,8,PG,31,06-Mar,200,Illinois,5378974.0,171
Trevor Ariza,Houston Rockets,1,SF,30,06-Aug,215,UCLA,8193030.0,174
Michael Beasley,Houston Rockets,8,SF,27,06-Oct,235,Kansas State,306527.0,164
Patrick Beverley,Houston Rockets,2,PG,27,06-Jan,185,Arkansas,6486486.0,153
Corey Brewer,Houston Rockets,33,SG,30,06-Sep,186,Florida,8229375.0,155
Clint Capela,Houston Rockets,15,PF,22,06-Oct,240,,1242720.0,163
Sam Dekker,Houston Rockets,7,SF,22,06-Sep,230,Wisconsin,1646400.0,159
Andrew Goudelock,Houston Rockets,0,PG,27,06-Mar,200,Charleston,200600.0,161
James Harden,Houston Rockets,13,SG,26,06-May,220,Arizona State,15756438.0,174
Montrezl Harrell,Houston Rockets,35,PF,22,06-Aug,240,Louisville,1000000.0,170
Dwight Howard,Houston Rockets,12,C,30,06-Nov,265,,22359364.0,180
Terrence Jones,Houston Rockets,6,PF,24,06-Sep,252,Kentucky,2489530.0,164
K.J. McDaniels,Houston Rockets,32,SG,23,06-Jun,205,Clemson,3189794.0,167
Donatas Motiejunas,Houston Rockets,20,PF,25,7-0,222,,2288205.0,163
Josh Smith,Houston Rockets,5,C,30,06-Sep,225,,947276.0,154
Jason Terry,Houston Rockets,31,SG,38,06-Feb,185,Arizona,947276.0,158
Jordan Adams,Memphis Grizzlies,3,SG,21,06-May,209,UCLA,1404600.0,158
Tony Allen,Memphis Grizzlies,9,SG,34,06-Apr,213,Oklahoma State,5158539.0,164
Chris Andersen,Memphis Grizzlies,7,PF,37,06-Oct,245,Blinn College,5000000.0,157
Matt Barnes,Memphis Grizzlies,22,SF,36,06-Jul,226,UCLA,3542500.0,180
Vince Carter,Memphis Grizzlies,15,SG,39,06-Jun,220,North Carolina,4088019.0,178
Mike Conley,Memphis Grizzlies,11,PG,28,06-Jan,175,Ohio State,9588426.0,159
Bryce Cotton,Memphis Grizzlies,8,PG,23,06-Jan,165,Providence,700902.0,156
Jordan Farmar,Memphis Grizzlies,4,PG,29,06-Feb,180,UCLA,,166
Marc Gasol,Memphis Grizzlies,33,C,31,07-Jan,255,,19688000.0,158
JaMychal Green,Memphis Grizzlies,0,PF,25,06-Sep,227,Alabama,845059.0,173
P.J. Hairston,Memphis Grizzlies,19,SF,23,06-Jun,230,North Carolina,1201440.0,171
Jarell Martin,Memphis Grizzlies,10,PF,22,06-Oct,239,LSU,1230840.0,160
Ray McCallum,Memphis Grizzlies,5,PG,24,06-Mar,190,Detroit,,156
Xavier Munford,Memphis Grizzlies,14,PG,24,06-Mar,180,Rhode Island,,173
Zach Randolph,Memphis Grizzlies,50,PF,34,06-Sep,260,Michigan State,9638555.0,164
Lance Stephenson,Memphis Grizzlies,1,SF,25,06-May,230,Cincinnati,9000000.0,152
Alex Stepheson,Memphis Grizzlies,35,PF,28,06-Oct,270,USC,,171
Brandan Wright,Memphis Grizzlies,34,PF,28,06-Oct,210,North Carolina,5464000.0,170
Alexis Ajinca,New Orleans Pelicans,42,C,28,07-Feb,248,,4389607.0,162
Ryan Anderson,New Orleans Pelicans,33,PF,28,06-Oct,240,California,8500000.0,154
Omer Asik,New Orleans Pelicans,3,C,29,7-0,255,,9213483.0,175
Luke Babbitt,New Orleans Pelicans,8,SF,26,06-Sep,225,Nevada,1100602.0,174
Norris Cole,New Orleans Pelicans,30,PG,27,06-Feb,175,Cleveland State,3036927.0,171
Dante Cunningham,New Orleans Pelicans,44,PF,29,06-Aug,230,Villanova,2850000.0,170
Anthony Davis,New Orleans Pelicans,23,PF,23,06-Oct,253,Kentucky,7070730.0,154
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,06-Jun,203,Iowa State,169883.0,179
Toney Douglas,New Orleans Pelicans,16,PG,30,06-Feb,195,Florida State,1164858.0,171
James Ennis,New Orleans Pelicans,4,SF,25,06-Jul,210,Long Beach State,845059.0,176
Tyreke Evans,New Orleans Pelicans,1,SG,26,06-Jun,220,Memphis,10734586.0,163
Tim Frazier,New Orleans Pelicans,2,PG,25,06-Jan,170,Penn State,845059.0,161
Alonzo Gee,New Orleans Pelicans,15,SF,29,06-Jun,225,Alabama,1320000.0,174
Eric Gordon,New Orleans Pelicans,10,SG,27,06-Apr,215,Indiana,15514031.0,176
Jordan Hamilton,New Orleans Pelicans,25,SG,25,06-Jul,220,Texas,1015421.0,178
Jrue Holiday,New Orleans Pelicans,11,PG,25,06-Apr,205,UCLA,10595507.0,171
Orlando Johnson,New Orleans Pelicans,0,SG,27,06-May,220,UC Santa Barbara,55722.0,180
Kendrick Perkins,New Orleans Pelicans,5,C,31,06-Oct,270,,947276.0,153
Quincy Pondexter,New Orleans Pelicans,20,SF,28,06-Jul,220,Washington,3382023.0,164
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,06-Nov,240,Texas,19689000.0,171
Kyle Anderson,San Antonio Spurs,1,SF,22,06-Sep,230,UCLA,1142880.0,173
Matt Bonner,San Antonio Spurs,15,C,36,06-Oct,235,Florida,947276.0,155
Boris Diaw,San Antonio Spurs,33,C,34,06-Aug,250,,7500000.0,174
Tim Duncan,San Antonio Spurs,21,C,40,06-Nov,250,Wake Forest,5250000.0,162
Manu Ginobili,San Antonio Spurs,20,SG,38,06-Jun,205,,2814000.0,176
Danny Green,San Antonio Spurs,14,SG,28,06-Jun,215,North Carolina,10000000.0,175
Kawhi Leonard,San Antonio Spurs,2,SF,24,06-Jul,230,San Diego State,16407500.0,169
Boban Marjanovic,San Antonio Spurs,40,C,27,07-Mar,290,,1200000.0,153
Kevin Martin,San Antonio Spurs,23,SG,33,06-Jul,199,Western Carolina,200600.0,173
Andre Miller,San Antonio Spurs,24,PG,40,06-Mar,200,Utah,250750.0,167
Patty Mills,San Antonio Spurs,8,PG,27,6-0,185,Saint Mary's,3578947.0,150
Tony Parker,San Antonio Spurs,9,PG,34,06-Feb,185,,13437500.0,177
